"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"X5JS7FWS","journalArticle","2023","Haile, B. W.","Associations of Institutional COVID-19 Mortality and Bacillus Calmette Guerin in Tikur Anbessa Specialized Hospital COVID-19 Treatment Center, Addis Ababa, Ethiopia","B61. MORE OF COVID-19","","","10.1164/ajrccm-conference.2023.207.1_meetingabstracts.a3817","http://dx.doi.org/10.1164/ajrccm-conference.2023.207.1_meetingabstracts.a3817","","2023","2023-07-03 03:09:05","2023-07-03 03:09:05","","","","","","","","","","","","","","","","","","","","","","Publisher: American Thoracic Society Type: proceedings-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXC5REZ8","journalArticle","2023","Wen, Jiayu; Liu, Quanxian; Tang, Daoyan; He, Jian-Qing","Efficacy of BCG Vaccination against COVID-19: Systematic Review and Meta-Analysis of Randomized Controlled Trials","Journal of Clinical Medicine","","2077-0383","10.3390/jcm12031154","http://dx.doi.org/10.3390/jcm12031154","Beneficial off-target effects of the Bacillus Calmette-Guérin (BCG) vaccination might offer general protection from respiratory tract infections. We conducted a systematic review and meta-analysis of published randomized controlled trials (RCTs) to ascertain BCG vaccination effectiveness against COVID-19. We looked up English RCTs from 1 January 2019 to 15 November 2022 in Embase, the Cochrane Library, and the Web of Science in this systematic review and meta-analysis. Nine RCTs, including 7963 participants, were included. The infection rate of COVID-19 was not decreased in people who were vaccinated with BCG (OR, 0.96; 95% CI, 0.82–1.13; I2 = 4%), and the BCG vaccination group did not have decreased COVID-19 related-hospitalization (OR, 0.66; 95% CI, 0.37–1.18; I2 = 42%), admission to the ICU (OR, 0.25; 95% CI, 0.05–1.18; I2 = 0%), and mortality (OR, 0.64; 95% CI, 0.17–2.44; I2 = 0%) compared with the control group. There is not sufficient evidence to support the use of BCG vaccination in the prevention of COVID-19 infection and severe COVID-19 and avoid overstating the role of BCG vaccination leading to its misuse.","2023","2023-07-03 03:09:05","2023-07-03 03:09:05","","1154–1154","","3","12","","","","","","","","","","","","","","","","","Publisher: MDPI AG Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5CL6R4B","journalArticle","2023","Trunk, Gerhard; Davidović, Maša; Bohlius, Julia","Non-Specific Effects of Bacillus Calmette-Guérin: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Vaccines","","2076-393X","10.3390/vaccines11010121","http://dx.doi.org/10.3390/vaccines11010121","Background: Vaccines induce antigen-specific immunity, which provides long-lived protection from the target pathogen. Trials from areas with high incidence rates for infectious diseases indicated that the tuberculosis vaccine Bacillus Calmette-Guérin (BCG) induces in addition non-specific immunity against various pathogens and thereby reduces overall mortality more than would have been expected by just protecting from tuberculosis. Although recent trials produced conflicting results, it was suggested that BCG might protect from non-tuberculosis respiratory infections and could be used to bridge the time until a specific vaccine against novel respiratory diseases like COVID-19 is available. Methods: We performed a systematic search for randomized controlled trials (RCTs) published between 2011 and December 9th, 2022, providing evidence about non-specific effects after BCG vaccination, assessed their potential for bias, and meta-analyzed relevant clinical outcomes. We excluded RCTs investigating vaccination with an additional vaccine unless outcomes from a follow-up period before the second vaccination were reported. Results: Our search identified 16 RCTs including 34,197 participants. Vaccination with BCG caused an estimated 44% decrease in risk for respiratory infections (hazard ratio (HR) 0.56, 95% confidence interval (CI) 0.39–0.82) with substantial heterogeneity between trials (I2 = 77%). There was evidence for a protective effect on all-cause mortality of 21% if follow-up was restricted to one year (HR 0.79, 95% CI 0.64–0.99). We did not find evidence for an effect when we considered longer follow-up (HR 0.88, 95% CI 0.75–1.03). Infection-related mortality after BCG vaccination was reduced by 33% (HR 0.67; 95% CI 0.46–0.99), mortality for sepsis by 38% (HR 0.62, 95% CI 0.41–0.93). There was no evidence for a protective effect of BCG vaccination on infections of any origin (HR 0.84, 95% CI 0.71–1.00), COVID-19 (HR 0.88, 95% CI 0.68–1.14), sepsis (HR 0.78, 95% CI 0.55–1.10) or hospitalization (HR 1.01, 95% CI 0.91–1.11). Conclusions: According to these results, depending on the setting, vaccination with BCG provides time-limited partial protection against non-tuberculosis respiratory infections and may reduce mortality. These findings underline BCG’s potential (1) in pandemic preparedness against novel pathogens especially in developing countries with established BCG vaccination programs but limited access to specific vaccines; (2) in reducing microbial infections, antimicrobial prescriptions and thus the development of antimicrobial resistance. There is a need for additional RCTs to clarify the circumstances under which BCG’s non-specific protective effects are mediated.","2023","2023-07-03 03:09:05","2023-07-03 03:09:05","","121–121","","1","11","","","","","","","","","","","","","","","","","Publisher: MDPI AG Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWUB8NG7","dataset","2023","Liedberg, Fredrik","Treatment of bladder cancer with gemcitabine and docetaxel (for people not responding to Bacillus Calmette-Guerin (BCG) treatment)","","","","10.1186/isrctn17499170","http://dx.doi.org/10.1186/isrctn17499170","","2023","2023-07-03 03:09:05","2023-07-03 03:09:05","","","","","","","","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media LLC Type: dataset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M54RPKEN","journalArticle","2023","Mishra, Neha; Mishra, Saurabh","Impact of Yoga on Immune Response with Special Reference to COVID-19: A Review of Randomized Controlled Trials","Current Traditional Medicine","","2215-0838","10.2174/2215083809666230125141650","http://dx.doi.org/10.2174/2215083809666230125141650","Abstract:: Like other viruses, severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) continuously evolves due to mutations during genome replication. These mutations lead to various new variants and may alter the pathogenicity, immune escape capacity, and re-infection risk. In addition, it is also evident that a compromised immune system increases the susceptibility and severity of the disease. Therefore, strengthening the immune system is considered to combat Covid. Yoga is an ancient practice used for strengthening the body and mind. There are abundant studies that focus on yoga's benefits for stress management; however, lesser studies observed the effects of yoga on the immune system. Therefore, the present study aims to compile randomized controlled studies on the role of yoga in immunity and COVID-19. Our finding reported moderate evidence for the benefits of yoga in the levels of inflammatory markers, such as C-reactive protein (CRP), and cytokines, such as interleukin (IL) and tumor necrosis factor-alpha (TNF-α). However, lesser shreds of evidence were observed on the effect of yoga on innate and adaptive immunity. Our finding reported a paucity of studies examining the impact of yoga on the immunity of Covid patients. Thus, its efficacy as a potential adjuvant to attenuate Covid-19 infection has yet to be proven. Further extensive studies are recommended to draw the inference on the impact of yoga on Covid-19.","2023","2023-07-03 03:09:05","2023-07-03 03:09:05","","","","","","","","","","","","","","","","","","","","","","Publisher: Bentham Science Publishers Ltd. Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MRI84TW","journalArticle","2023","","Antituberculars/BCG/fluoroquinolones","Reactions Weekly","","1179-2051","10.1007/s40278-023-39185-2","http://dx.doi.org/10.1007/s40278-023-39185-2","","2023","2023-07-03 03:09:05","2023-07-03 03:09:05","","60–60","","1","1957","","","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media LLC Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TFKFY7UV","journalArticle","2023","Wahab, A.; Selvaraj, V.; Lal, A.","Efficacy and Safety of Antiplatelet Agents (or Therapies) in COVID-19 Patients: A Metanalysis of Randomized Controlled Trials","A44. COVID AND ITS CONSEQUENCES: PART I","","","10.1164/ajrccm-conference.2023.207.1_meetingabstracts.a1620","http://dx.doi.org/10.1164/ajrccm-conference.2023.207.1_meetingabstracts.a1620","","2023","2023-07-03 03:09:05","2023-07-03 03:09:05","","","","","","","","","","","","","","","","","","","","","","Publisher: American Thoracic Society Type: proceedings-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GCMXANK","report","2023","Xu, Fuming; Zhu, Wanling; Chen, Qian; Tang, Youmei","Online Mindfulness-based Interventions for Improving People’s Mental Health during the COVID-19 pandemic: A Meta-analysis of Randomized Controlled Trials","","","","","http://dx.doi.org/10.37766/inplasy2023.3.0103","","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","","","","","","","","","","","","INPLASY - International Platform of Registered Systematic Review and Meta-analysis Protocols","","","","","","","","","Type: report DOI: 10.37766/inplasy2023.3.0103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UQJARRG","journalArticle","2023","Xia, Shilin; Nan, Xiaoli","Motivating COVID-19 Vaccination through Persuasive Communication: A Systematic Review of Randomized Controlled Trials","Health Communication","","1041-0236","10.1080/10410236.2023.2218145","http://dx.doi.org/10.1080/10410236.2023.2218145","","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","1–24","","","","","","","","","","","","","","","","","","","","Publisher: Informa UK Limited Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39ICEQAJ","book","2023","Smith, Katherine; Hegazy, Karim; Cai, Miranda R.; McKnight, Irene; Rousculp, Matthew D.; Alves, Katia","Safety of the NVX-CoV2373 COVID-19 Vaccine in Randomized Placebo-Controlled Clinical Trials","","","","","http://dx.doi.org/10.1101/2023.02.24.23285601","Background: NVX-CoV2373 (Nuvaxovid™ or the Novavax COVID-19 Vaccine, Adjuvanted), the first protein-based COVID-19 vaccine, received emergency use authorization (EUA) as a primary series/booster and is available globally. NVX-CoV2373 primary series demonstrated efficacy rates of 89·7–90·4 % and an acceptable safety profile. This article summarizes safety in adult recipients (aged ≥18 years) of primary series NVX-CoV2373 in four randomized placebo-controlled trials. Methods: All participants who received NVX-CoV2373 primary series or placebo (pre-crossover) were included according to actual received treatment. The safety period was from Day 0 (first vaccination) to unblinding/receipt of EUA-approved/crossover vaccine, end of each study (EOS), or last visit date/cutoff date minus 14 days. The analysis reviewed local and systemic solicited adverse events (AEs) within 7 days after NVX-CoV2373 or placebo; unsolicited AEs from after Dose 1 to 28 days after Dose 2; serious AEs (SAEs), deaths, AEs of special interest, and vaccine-related medically attended AEs from Day 0 through end of follow-up (incidence rate per 100 person-years). Findings: Pooled data from 49,950 participants (NVX-CoV2373, n=30,058; placebo, n=19,892) were included. Solicited reactions after any dose were more frequent in NVX-CoV2373 recipients (local, 76%/systemic, 70%) than placebo recipients (29%/47%), and were mostly of mild-to-moderate severity. Grade 3+ reactions were infrequent, with greater frequency in NVX-CoV2373 recipients (6·28%/11·36%) than placebo recipients (0·48%/3·58%). SAEs and deaths occurred with similarly low frequency in NVX-CoV2373 (0·91% and 0·07%, respectively) and placebo recipients (1·0% and 0·06%). Interpretation: To date, NVX-CoV2373 has displayed an acceptable safety profile in healthy adults. Funding: Supported by Novavax, Inc.","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","","","","","","","","","","","","Cold Spring Harbor Laboratory","","","","","","","","","Type: posted-content DOI: 10.1101/2023.02.24.23285601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
