"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VETQD742","journalArticle","2023","Gong, W.; Liu, Y.; Xue, Y.; Zhuang, L.","Two issues should be noted when designing a clinical trial to evaluate BCG effects on COVID-19","Frontiers in Immunology","","","10.3389/fimmu.2023.1207212","https://www.frontiersin.org/articles/10.3389/fimmu.2023.1207212/full","… trials (RCTs) aimed at assessing the protective efficacy of BCG vaccination against COVID-19 … association, if any, between BCG vaccination and COVID-19 efficacy is attributable to the …","2023","2023-07-03 03:11:29","2023-07-03 03:11:29","","","","","","","","","","","","","","","","","","","","","","Publisher: frontiersin.org Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNNGXJYN","journalArticle","2023","Wen, J.; Liu, Q.; Tang, D.; He, J. Q.","Efficacy of BCG Vaccination against COVID-19: Systematic Review and Meta-Analysis of Randomized Controlled Trials","Journal of Clinical Medicine","","","","https://www.mdpi.com/2077-0383/12/3/1154","… the effectiveness of BCG vaccination against COVID-19. This meta-analysis demonstrated that BCG vaccination did not significantly provide prevention for COVID-19. The following data …","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: mdpi.com Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6LPUN6E","journalArticle","2023","Trunk, G.; Davidović, M.; Bohlius, J.","Non-Specific Effects of Bacillus Calmette-Guérin: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Vaccines","","","","https://www.mdpi.com/2076-393X/11/1/121","… Due to this fact, it is questionable as to how many of these BCG-COVID-19 trials … BCG-COVID-19 trials does not provide evidence for a protective effect of BCG vaccination on COVID-19…","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: mdpi.com Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMGVDEZJ","journalArticle","2023","Du, J.; Su, Y.; Wang, R.; Dong, E.; Cao, Y.; Zhao, W.; ...","Research progress on specific and non-specific immune effects of BCG and the possibility of BCG protection against COVID-19","Frontiers in …","","","10.3389/fimmu.2023.1118378","https://www.frontiersin.org/articles/10.3389/fimmu.2023.1118378/full","… This study comprehensively described BCG-… BCG revaccination to prevent TB, the impact of BCG on other non-tuberculous diseases, and the clinical trials of BCG to prevent COVID-19 …","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: frontiersin.org Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6AWLCRJ","journalArticle","2023","Anwardeen, N. R.; Cyprian, F. S.; Yassine, H. M.; ...","The retrospective study of the metabolic patterns of BCG-vaccination in type-2 diabetic individuals in COVID-19 infection","Frontiers in …","","","10.3389/fimmu.2023.1146443","https://www.frontiersin.org/articles/10.3389/fimmu.2023.1146443/full","… In both diabetic and non-diabetic patients, most of the metabolites identified in the BCG vaccinated cohort were also identified with COVID-19 patients in general population. Sarcosine, …","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: frontiersin.org Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XGY3WX8V","journalArticle","2023","Pittet, L. F.; Messina, N. L.; Orsini, F.; Moore, C. L.; ...","Randomized trial of BCG vaccine to protect against Covid-19 in health care workers","… England Journal of …","","","10.1056/NEJMoa2212616","https://www.nejm.org/doi/full/10.1056/NEJMoa2212616","… In this randomized, controlled trial, BCG Vaccination to Reduce the Impact of COVID-19 … Covid-19 among adult health care workers would be lower among those who received the BCG-…","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: Mass Medical Soc Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8Z5F57N","journalArticle","2023","Claus, J.; Doesschate, T. Ten; Gumbs, C.; ...","BCG Vaccination of health care workers does not reduce SARS-CoV-2 infections nor infection severity or duration: a randomized placebo-controlled trial","Mbio","","","10.1128/mbio.00356-23","https://journals.asm.org/doi/abs/10.1128/mbio.00356-23","… In this context, several randomized placebo-controlled BCG trials with 2019 coronavirus disease (COVID-19) endpoints were initiated during the pandemic to determine whether BCG …","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: Am Soc Microbiol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y2ZIUP2H","journalArticle","2023","Pereira, S. M.; Barreto, F. R.; Souza, RA de; ...","Previous BCG vaccination is associated with less severe clinical progression of COVID-19","BMC …","","","10.1186/s12916-023-02859-x","https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-02859-x","… The first, conducted by Weng, followed a cohort of 120 COVID-19 patients, … the BCG vaccine against progression to severe COVID-19 in people who did not receive COVID-19 vaccines. …","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: bmcmedicine.biomedcentral.com Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNLFDNKR","journalArticle","2023","Hurle, R.; Soria, F.; Contieri, R.; Avolio, P. P.; Mancon, S.; ...","Evaluating the Protective Effect of Intravesical Bacillus Calmette-Guerin against SARS-CoV-2 in Non-Muscle Invasive Bladder Cancer Patients: A Multicenter …","Cancers","","","","https://www.mdpi.com/2072-6694/15/5/1618","… We tested our hypothesis in a large multicenter cohort of NMIBC … trials and future studies that might explore the adjunctive role of BCG in enhancing the immune response to COVID-19 …","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: mdpi.com Type: HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W5IQ5QR2","journalArticle","2023","Aaby, P.; Netea, M. G.; Benn, C. S.","Beneficial non-specific effects of live vaccines against COVID-19 and other unrelated infections","The Lancet Infectious Diseases","","","","https://www.thelancet.com/journals/laninf/article/PIIS1473-3099%2822%2900498-4/fulltext?trk=public_post_comment-text","… , although several trials found no protection of the BCG vaccine against COVID-19 infection, … We predict that when one dose of BCG is tested against COVID-19, it will work better among …","2023","2023-07-03 03:11:30","2023-07-03 03:11:30","","","","","","","","","","","","","","","","","","","","","","Publisher: thelancet.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
