"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"98I9XVYR","journalArticle","2023","Netea, Mihai G.; Ziogas, Athanasios; Benn, Christine Stabell; Giamarellos-Bourboulis, Evangelos J.; Joosten, Leo A. B.; Arditi, Moshe; Chumakov, Konstantin; Crevel, Reinout van; Gallo, Robert; Aaby, Peter; Meer, Jos W. M. van der","The role of trained immunity in COVID-19: Lessons for the next pandemic.","Cell host & microbe","","1934-6069","10.1016/j.chom.2023.05.004","","Trained immunity is a long-term increase in responsiveness of innate immune cells, induced by certain infections and vaccines. During the last 3 years of the COVID-19 pandemic, vaccines that induce trained immunity, such as BCG, MMR, OPV, and others, have been investigated for their capacity to protect against COVID-19. Further, trained immunity-inducing vaccines have been shown to improve B and T cell responsiveness to both mRNA- and adenovirus-based anti-COVID-19 vaccines. Moreover, SARS-CoV-2 infection itself induces inappropriately strong programs of trained immunity in some individuals, which may contribute to the long-term inflammatory sequelae. In this review, we detail these and other aspects of the role of trained immunity in SARS-CoV-2 infection and COVID-19. We also examine the learnings from the trained immunity studies conducted in the context of this pandemic and discuss how they may help us in preparing for future infectious outbreaks.","2023","2023-07-03 03:17:27","2023-07-03 03:17:27","","890–901","","6","31","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5QPXUWK","journalArticle","2023","Anwardeen, Najeha R.; Cyprian, Farhan S.; Yassine, Hadi M.; Al-Thani, Asmaa A.; Abdallah, Abdallah M.; Emara, Mohamed M.; Elrayess, Mohamed A.","The retrospective study of the metabolic patterns of BCG-vaccination in type-2 diabetic individuals in COVID-19 infection.","Frontiers in immunology","","1664-3224","10.3389/fimmu.2023.1146443","","The cross-protective nature of Bacillus Calmette-Guerin (BCG) vaccine against SARS-CoV-2 virus was previously suggested, however its effect in COVID-19 patients with type 2 diabetes (T2D) and the underlying metabolic pathways has not been addressed. This study aims to investigate the difference in the metabolomic patterns of type 2 diabetic patients with BCG vaccination showing different severity levels of COVID-19 infection. Sixty-seven COVID-19 patients were categorized into diabetic and non-diabetic individuals who had been previously vaccinated or not with BCG vaccination. Targeted metabolomics were performed from serum samples from all patients using tandem mass spectrometry. Statistical analysis included multivariate and univariate models. Data suggested that while BCG vaccination may provide protection for individuals who do not have diabetes, it appears to be linked to more severe COVID-19 symptoms in T2D patients (p = 0.02). Comparing the metabolic signature of BCG vaccinated T2D individuals to non-vaccinated counterparts revealed that amino acid (sarcosine), cholesterol esters (CE 20:0, 20:1, 22:2), carboxylic acid (Aconitic acid) were enriched in BCG vaccinated T2D patients, whereas spermidine, glycosylceramides (Hex3Cer(d18:1_22:0), Hex2Cer(d18:1/22:0), HexCer(d18:1/26:1), Hex2Cer(d18:1/24:0), HexCer(d18:1/22:0) were higher in BCG vaccinated non- T2D patients. Furthermore, data indicated a decrease in sarcosine synthesis from glycine and choline and increase in spermidine synthesis in the BCG vaccinated cohort in T2D and non-T2D groups, respectively. This pilot study suggests increased severity of COVID-19 in BCG vaccinated T2D patients, which was marked by decreased sarcosine synthesis, perhaps via lower sarcosine-mediated removal of viral antigens.","2023","2023-07-03 03:17:27","2023-07-03 03:17:27","","1146443","","","14","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YA7RTNZF","journalArticle","2023","Villanueva, Paola; Crawford, Nigel W.; Croda, Mariana Garcia; Collopy, Simone; Jardim, Bruno Araújo; Jardim, Tyane de Almeida Pinto; Manning, Laurens; Lucas, Michaela; Marshall, Helen; Prat-Aymerich, Cristina; Sawka, Alice; Sharma, Ketaki; Troeman, Darren; Wadia, Ushma; Warris, Adilia; Wood, Nicholas; Messina, Nicole L.; Curtis, Nigel; Pittet, Laure F.","Factors influencing scar formation following Bacille Calmette-Guérin (BCG) vaccination.","Heliyon","","2405-8440","10.1016/j.heliyon.2023.e15241","","The prevalence of scar formation following Bacille Calmette-Guérin (BCG) vaccination varies globally. The beneficial off-target effects of BCG are proposed to be stronger amongst children who develop a BCG scar. Within an international randomised trial ('BCG vaccination to reduce the impact of coronavirus disease 2019 (COVID-19) in healthcare workers'; BRACE Trial), this nested prospective cohort study assessed the prevalence of and factors influencing scar formation, as well as participant perception of BCG scarring 12 months following vaccination . Amongst 3071 BCG-recipients, 2341 (76%) developed a BCG scar. Scar prevalence was lowest in Spain and highest in UK. Absence of post-injection wheal (OR 0.4, 95%CI 0.2-0.9), BCG revaccination (OR 1.7, 95%CI 1.3-2.0), female sex (OR 2.0, 95%CI 1.7-2.4), older age (OR 0.4, 95%CI 0.4-0.5) and study country (Brazil OR 1.6, 95%CI 1.3-2.0) influenced BCG scar prevalence. Of the 2341 participants with a BCG scar, 1806 (77%) did not mind having the scar. Participants more likely to not mind were those in Brazil, males and those with a prior BCG vaccination history. The majority (96%) did not regret having the vaccine. Both vaccination-related (amenable to optimisation) and individual-related factors affected BCG scar prevalence 12 months following BCG vaccination of adults, with implications for maximising the effectiveness of BCG vaccination.","2023","2023-07-03 03:17:28","2023-07-03 03:17:28","","","","4","9","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS4KCFHC","journalArticle","2023","Claus, Juana; Doesschate, Thijs Ten; Gumbs, Cheyenne; Werkhoven, Cornelis H. van; Vaart, Thomas W. van der; Janssen, Axel B.; Smits, Gaby; Binnendijk, Rob van; Klis, Fiona van der; Baarle, Debbie van; Paganelli, Fernanda L.; Leavis, Helen; Verhagen, Lilly M.; Joosten, Simone A.; Bonten, Marc J. M.; Netea, Mihai G.; Wijgert, Janneke H. H. M. van de","BCG Vaccination of Health Care Workers Does Not Reduce SARS-CoV-2 Infections nor Infection Severity or Duration: a Randomized Placebo-Controlled Trial.","mBio","","2150-7511","10.1128/mbio.00356-23","","Bacillus Calmette-Guerin (BCG) vaccination has been hypothesized to reduce severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, severity, and/or duration via trained immunity induction. Health care workers (HCWs) in nine Dutch hospitals were randomized to BCG or placebo vaccination (1:1) in March and April 2020 and followed for 1 year. They reported daily symptoms, SARS-CoV-2 test results, and health care-seeking behavior via a smartphone application, and they donated blood for SARS-CoV-2 serology at two time points. A total of 1,511 HCWs were randomized and 1,309 analyzed (665 BCG and 644 placebo). Of the 298 infections detected during the trial, 74 were detected by serology only. The SARS-CoV-2 incidence rates were 0.25 and 0.26 per person-year in the BCG and placebo groups, respectively (incidence rate ratio, 0.95; 95% confidence interval, 0.76 to 1.21; P = 0.732). Only three participants required hospitalization for SARS-CoV-2. The proportions of participants with asymptomatic, mild, or moderate infections and the mean infection durations did not differ between randomization groups. In addition, unadjusted and adjusted logistic regression and Cox proportional hazards models showed no differences between BCG and placebo vaccination for any of these outcomes. The percentage of participants with seroconversion (7.8% versus 2.8%; P = 0.006) and mean SARS-CoV-2 anti-S1 antibody concentration (13.1 versus 4.3 IU/mL; P = 0.023) were higher in the BCG than placebo group at 3 months but not at 6 or 12 months postvaccination. BCG vaccination of HCWs did not reduce SARS-CoV-2 infections nor infection duration or severity (ranging from asymptomatic to moderate). In the first 3 months after vaccination, BCG vaccination may enhance SARS-CoV-2 antibody production during SARS-CoV-2 infection. IMPORTANCE While several BCG trials in adults were conducted during the 2019 coronavirus disease epidemic, our data set is the most comprehensive to date, because we included serologically confirmed infections in addition to self-reported positive SARS-CoV-2 test results. We also collected data on symptoms for every day during the 1-year follow-up period, which enabled us to characterize infections in detail. We found that BCG vaccination did not reduce SARS-CoV-2 infections nor infection duration or severity but may have enhanced SARS-CoV-2 antibody production during SARS-CoV-2 infection in the first 3 months after vaccination. These results are in agreement with other BCG trials that reported negative results (but did not use serological endpoints), except for two trials in Greece and India that reported positive results but had few endpoints and included endpoints that were not laboratory confirmed. The enhanced antibody production is in agreement with prior mechanistic studies but did not translate into protection from SARS-CoV-2 infection.","2023","2023-07-03 03:17:28","2023-07-03 03:17:28","","","","2","14","","","","","","","","","","","","","","","","","Type: Randomized Controlled Trial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDMNPCNV","journalArticle","2023","Du, Jingli; Su, Yue; Wang, Ruilan; Dong, Enjun; Cao, Yan; Zhao, Wenjuan; Gong, Wenping","Research progress on specific and non-specific immune effects of BCG and the possibility of BCG protection against COVID-19.","Frontiers in immunology","","1664-3224","10.3389/fimmu.2023.1118378","","Bacille Calmette-Guérin (BCG) is the only approved vaccine for tuberculosis (TB) prevention worldwide. BCG has an excellent protective effect on miliary tuberculosis and tuberculous meningitis in children or infants. Interestingly, a growing number of studies have shown that BCG vaccination can induce nonspecific and specific immunity to fight against other respiratory disease pathogens, including SARS-CoV-2. The continuous emergence of variants of SARS-CoV-2 makes the protective efficiency of COVID-19-specific vaccines an unprecedented challenge. Therefore, it has been hypothesized that BCG-induced trained immunity might protect against COVID-19 infection. This study comprehensively described BCG-induced nonspecific and specific immunity and the mechanism of trained immunity. In addition, this study also reviewed the research on BCG revaccination to prevent TB, the impact of BCG on other non-tuberculous diseases, and the clinical trials of BCG to prevent COVID-19 infection. These data will provide new evidence to confirm the hypotheses mentioned above.","2023","2023-07-03 03:17:30","2023-07-03 03:17:30","","1118378","","","14","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R83AB9BS","journalArticle","2023","Wen, Jiayu; Liu, Quanxian; Tang, Daoyan; He, Jian-Qing","Efficacy of BCG Vaccination against COVID-19: Systematic Review and Meta-Analysis of Randomized Controlled Trials.","Journal of clinical medicine","","2077-0383","10.3390/jcm12031154","","Beneficial off-target effects of the Bacillus Calmette-Guérin (BCG) vaccination might offer general protection from respiratory tract infections. We conducted a systematic review and meta-analysis of published randomized controlled trials (RCTs) to ascertain BCG vaccination effectiveness against COVID-19. We looked up English RCTs from 1 January 2019 to 15 November 2022 in Embase, the Cochrane Library, and the Web of Science in this systematic review and meta-analysis. Nine RCTs, including 7963 participants, were included. The infection rate of COVID-19 was not decreased in people who were vaccinated with BCG (OR, 0.96; 95% CI, 0.82-1.13; I2 = 4%), and the BCG vaccination group did not have decreased COVID-19 related-hospitalization (OR, 0.66; 95% CI, 0.37-1.18; I2 = 42%), admission to the ICU (OR, 0.25; 95% CI, 0.05-1.18; I2 = 0%), and mortality (OR, 0.64; 95% CI, 0.17-2.44; I2 = 0%) compared with the control group. There is not sufficient evidence to support the use of BCG vaccination in the prevention of COVID-19 infection and severe COVID-19 and avoid overstating the role of BCG vaccination leading to its misuse.","2023","2023-07-03 03:17:30","2023-07-03 03:17:30","","","","3","12","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBHQLPHL","journalArticle","2023","Trunk, Gerhard; Davidović, Maša; Bohlius, Julia","Non-Specific Effects of Bacillus Calmette-Guérin: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.","Vaccines","","2076-393X","10.3390/vaccines11010121","","Vaccines induce antigen-specific immunity, which provides long-lived protection from the target pathogen. Trials from areas with high incidence rates for infectious diseases indicated that the tuberculosis vaccine Bacillus Calmette-Guérin (BCG) induces in addition non-specific immunity against various pathogens and thereby reduces overall mortality more than would have been expected by just protecting from tuberculosis. Although recent trials produced conflicting results, it was suggested that BCG might protect from non-tuberculosis respiratory infections and could be used to bridge the time until a specific vaccine against novel respiratory diseases like COVID-19 is available. We performed a systematic search for randomized controlled trials (RCTs) published between 2011 and December 9th, 2022, providing evidence about non-specific effects after BCG vaccination, assessed their potential for bias, and meta-analyzed relevant clinical outcomes. We excluded RCTs investigating vaccination with an additional vaccine unless outcomes from a follow-up period before the second vaccination were reported. Our search identified 16 RCTs including 34,197 participants. Vaccination with BCG caused an estimated 44% decrease in risk for respiratory infections (hazard ratio (HR) 0.56, 95% confidence interval (CI) 0.39-0.82) with substantial heterogeneity between trials (I2 = 77%). There was evidence for a protective effect on all-cause mortality of 21% if follow-up was restricted to one year (HR 0.79, 95% CI 0.64-0.99). We did not find evidence for an effect when we considered longer follow-up (HR 0.88, 95% CI 0.75-1.03). Infection-related mortality after BCG vaccination was reduced by 33% (HR 0.67; 95% CI 0.46-0.99), mortality for sepsis by 38% (HR 0.62, 95% CI 0.41-0.93). There was no evidence for a protective effect of BCG vaccination on infections of any origin (HR 0.84, 95% CI 0.71-1.00), COVID-19 (HR 0.88, 95% CI 0.68-1.14), sepsis (HR 0.78, 95% CI 0.55-1.10) or hospitalization (HR 1.01, 95% CI 0.91-1.11). According to these results, depending on the setting, vaccination with BCG provides time-limited partial protection against non-tuberculosis respiratory infections and may reduce mortality. These findings underline BCG's potential (1) in pandemic preparedness against novel pathogens especially in developing countries with established BCG vaccination programs but limited access to specific vaccines; (2) in reducing microbial infections, antimicrobial prescriptions and thus the development of antimicrobial resistance. There is a need for additional RCTs to clarify the circumstances under which BCG's non-specific protective effects are mediated.","2023","2023-07-03 03:17:30","2023-07-03 03:17:30","","","","1","11","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8TQN3ZR","journalArticle","2023","Jalalizadeh, Mehrsa; Giacomelli, Cristiane F.; Leme, Patricia Af; Buosi, Keini; Col, Luciana Sb Dal; Dionato, Franciele Av; Maia, Cristiane L.; Yadollahvandmiandoab, Reza; Domingues-Junior, Adilson P.; Reis, Leonardo O.","Comparing Bacillus Calmette-Guérin (BCG) strains in convalescent COVID-19 patients.","Immunotherapy","","1750-7448","10.2217/imt-2022-0048","","Aim: We previously published results of the BATTLE trial, showing that patients recently infected with SARS-CoV-2 can benefit from receiving Bacillus Calmette-Guérin (BCG) with minimal adverse effects. The study incorporated two strains of this vaccine. In this study, patient outcomes were compared based on the strain of BCG because different strains have been shown to have different immunogenicity. Methods: BATTLE was a double-blind controlled trial of COVID-19 convalescent patients; symptom progression, injection-site lesion characteristics and adverse effects were compared between recipients of placebo, Russian BCG strain or Brazilian BCG strains. Results: There was no statistically significant difference between the two BCG strains in terms of symptom progression, lesion-size or type. Conclusion: The two strains have similar clinical outcomes in COVID-19 convalescent patients.","2023","2023-07-03 03:17:30","2023-07-03 03:17:30","","9–15","","1","15","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46FGA93P","journalArticle","2023","Blossey, Alexandra M.; Brückner, Sina; May, Marcus; Parzmair, Gerald P.; Sharma, Hitt; Shaligram, Umesh; Grode, Leander; Kaufmann, Stefan H. E.; Netea, Mihai G.; Schindler, Christoph","VPM1002 as Prophylaxis Against Severe Respiratory Tract Infections Including Coronavirus Disease 2019 in the Elderly: A Phase 3 Randomized, Double-Blind, Placebo-Controlled, Multicenter Clinical Study.","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","","1537-6591","10.1093/cid/ciac881","","Bacille Calmette-Guérin (BCG) vaccination can potentially reduce the rate of respiratory infections in vulnerable populations. This study evaluates the safety and efficacy of VPM1002 (a genetically modified BCG) as prophylaxis against severe respiratory tract infections including coronavirus disease 2019 (COVID-19) in an elderly population. In this phase 3, randomized, double-blind, placebo-controlled, multicenter clinical trial, healthy elderly volunteers (N = 2064) were enrolled, randomized (1:1) to receive either VPM1002 or placebo, and followed up remotely for 240 days. The primary outcome was the mean number of days with severe respiratory infections at hospital and/or at home. Secondary endpoints included the incidence of self-reported fever, number of hospital and intensive care unit (ICU) admissions, and number of adverse events. A total of 31 participants in the VPM1002 group reported at least 1 day with severe respiratory disease and a mean number of days with severe respiratory disease of 9.39 ± 9.28 while in the placebo group; 38 participants reported a mean of 14.29 ± 16.25 days with severe respiratory disease. The incidence of self-reported fever was lower in the VPM1002 group (odds ratio, 0.46 [95% confidence interval, .28-.74]; P = .001), and consistent trends to fewer hospitalization and ICU admissions due to COVID-19 were observed after VPM1002 vaccination. Local reactions typical for BCG were observed in the VPM1002-vaccinated group, which were mostly of mild intensity. Vaccination with VPM1002 is well tolerated and seems to have a prophylactic effect against severe respiratory disease in the elderly. NCT04435379.","2023","2023-07-03 03:17:31","2023-07-03 03:17:31","","1304–1310","","7","76","","","","","","","","","","","","","","","","","Type: Randomized Controlled Trial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X3DZBRM6","journalArticle","2023","Aaby, Peter; Netea, Mihai G.; Benn, Christine S.","Beneficial non-specific effects of live vaccines against COVID-19 and other unrelated infections.","The Lancet. Infectious diseases","","1474-4457","10.1016/S1473-3099(22)00498-4","","Live attenuated vaccines could have beneficial, non-specific effects of protecting against vaccine-unrelated infections, such as BCG protecting against respiratory infection. During the COVID-19 pandemic, testing of these effects against COVID-19 was of interest to the pandemic control programme. Non-specific effects occur due to the broad effects of specific live attenuated vaccines on the host immune system, relying on heterologous lymphocyte responses and induction of trained immunity. Knowledge of non-specific effects has been developed in randomised controlled trials and observational studies with children, but examining of whether the same principles apply to adults and older adults was of interest to researchers during the pandemic. In this Personal View, we aim to define a framework for the analysis of non-specific effects of live attenuated vaccines against vaccine-unrelated infections with pandemic potential using several important concepts. First, study endpoints should prioritise severity of infection and overall patient health rather than incidence of infection only (eg, although several trials found no protection of the BCG vaccine against COVID-19 infection, it is associated with lower overall mortality than placebo). Second, revaccination of an individual with the same live attenuated vaccine could be the most effective strategy against vaccine-unrelated infections. Third, coadministration of several live attenuated vaccines might enhance beneficial non-specific effects. Fourth, the sequence of vaccine administration matters; the live attenuated vaccine should be the last vaccine administered before exposure to the pandemic infection and non-live vaccines should not be administered afterwards. Fifth, live attenuated vaccines could modify the immune response to specific COVID-19 vaccines. Finally, non-specific effects of live attenuated vaccines should always be analysed with subgroup analysis by sex of individuals receiving the vaccines.","2023","2023-07-03 03:17:31","2023-07-03 03:17:31","","","","1","23","","","","","","","","","","","","","","","","","Type: Journal Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
