"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CKMT4R6V","journalArticle","2023","Aaby, P.","Beneficial non-specific effects of live vaccines against COVID-19 and other unrelated infections","The Lancet Infectious Diseases","","1473-3099","10.1016/S1473-3099(22)00498-4","https://api.elsevier.com/content/article/eid/1-s2.0-S1473309922004984","","2023","2023-07-03 03:16:05","2023-07-03 03:16:05","","","","1","23","","","","","","","","","","","","","","","","","Type: Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUK2JGUN","journalArticle","2023","Blossey, A. M.","VPM1002 as Prophylaxis against Severe Respiratory Tract Infections including Coronavirus Disease 2019 in the Elderly: A Phase 3 Randomized, Double-Blind, Placebo-Controlled, Multicenter Clinical Study","Clinical Infectious Diseases","","1058-4838","10.1093/cid/ciac881","","","2023","2023-07-03 03:16:05","2023-07-03 03:16:05","","1304–1310","","7","76","","","","","","","","","","","","","","","","","Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6H2VDY88","journalArticle","2022","Diamond, M. S.","Innate immunity: the first line of defense against SARS-CoV-2","Nature Immunology","","1529-2908","10.1038/s41590-021-01091-0","","","2022","2023-07-03 03:16:05","2023-07-03 03:16:05","","165–176","","2","23","","","","","","","","","","","","","","","","","Type: Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IE7THMZB","journalArticle","2022","Upton, C. M.","Safety and efficacy of BCG re-vaccination in relation to COVID-19 morbidity in healthcare workers: A double-blind, randomised, controlled, phase 3 trial","eClinicalMedicine","","2589-5370","10.1016/j.eclinm.2022.101414","https://api.elsevier.com/content/article/eid/1-s2.0-S2589537022001444","","2022","2023-07-03 03:16:05","2023-07-03 03:16:05","","","","","48","","","","","","","","","","","","","","","","","Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XGU8RWP2","journalArticle","2022","Aydiner, E. Karakoc","Adverse COVID-19 outcomes in immune deficiencies: Inequality exists between subclasses","Allergy: European Journal of Allergy and Clinical Immunology","","0105-4538","10.1111/all.15025","","","2022","2023-07-03 03:16:05","2023-07-03 03:16:05","","282–295","","1","77","","","","","","","","","","","","","","","","","Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYB8Y274","journalArticle","2022","Moorlag, S. J. C. F. M.","Efficacy of BCG Vaccination Against Respiratory Tract Infections in Older Adults During the Coronavirus Disease 2019 Pandemic","Clinical Infectious Diseases","","1058-4838","10.1093/cid/ciac182","","","2022","2023-07-03 03:16:05","2023-07-03 03:16:05","","","","1","75","","","","","","","","","","","","","","","","","Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RB5KCHES","journalArticle","2022","Tsilika, M.","ACTIVATE-2: A Double-Blind Randomized Trial of BCG Vaccination Against COVID-19 in Individuals at Risk","Frontiers in Immunology","","1664-3224","10.3389/fimmu.2022.873067","","","2022","2023-07-03 03:16:06","2023-07-03 03:16:06","","","","","13","","","","","","","","","","","","","","","","","Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A9XKNXML","journalArticle","2022","Jeyanathan, M.","Aerosol delivery, but not intramuscular injection, of adenovirus-vectored tuberculosis vaccine induces respiratorymucosal immunity in humans","JCI Insight","","2379-3708","10.1172/jci.insight.155655","","","2022","2023-07-03 03:16:06","2023-07-03 03:16:06","","","","3","7","","","","","","","","","","","","","","","","","Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAPUAIQC","journalArticle","2022","Aspatwar, A.","Tuberculosis vaccine BCG: the magical effect of the old vaccine in the fight against the COVID-19 pandemic","International Reviews of Immunology","","0883-0185","10.1080/08830185.2021.1922685","","","2022","2023-07-03 03:16:06","2023-07-03 03:16:06","","283–296","","2","41","","","","","","","","","","","","","","","","","Type: Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCXREQSR","journalArticle","2022","Gong, W.","Peptide-Based Vaccines for Tuberculosis","Frontiers in Immunology","","1664-3224","10.3389/fimmu.2022.830497","","","2022","2023-07-03 03:16:06","2023-07-03 03:16:06","","","","","13","","","","","","","","","","","","","","","","","Type: Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
